boundary_reason,games_processed,minutes_on,needs_on,opponent_dreb_off,opponent_dreb_on,opponent_oreb_off,opponent_oreb_on,opponent_rebounds_off,opponent_rebounds_on,player,player_id,query_end_date,query_start_date,season,seconds_off,seconds_on,segment_count,segment_index,source,team_abbr,team_dreb_off,team_dreb_on,team_games_in_window,team_id,team_oreb_off,team_oreb_on,team_rebounds_off,team_rebounds_on,treb_off,treb_on,treb_swing_pp,lock_engine,lock_code_commit,minutes_off,oreb_pct_on,oreb_pct_off,oreb_swing_pp,dreb_pct_on,dreb_pct_off,dreb_swing_pp
out_trade,37,750.8,False,786,533,286,260,1072,793,Keon Clark,1721,2001-01-12,2000-10-31,2000-01,62412,45048,1,1,roster_tenure_v2,DEN,755,520,37,1610612743,310,231,1065,751,0.4983621899859616,0.48639896373056996,-1.1963226255391646,historical_recovered_completion,1b5b438387fdc914aa4712c37f305900f3f59e03,1040.2,0.3023560209424084,0.28284671532846717,1.9509305613941208,0.6666666666666666,0.7252641690682037,-5.859750240153705
season_close,46,968.8666666666667,False,909,643,312,311,1221,954,Keon Clark,1721,2001-04-18,2001-01-13,2000-01,76748,58132,1,1,roster_tenure_v2,TOR,876,661,46,1610612761,404,314,1280,975,0.5117952818872451,0.505443234836703,-0.6352047050542153,historical_recovered_completion,1b5b438387fdc914aa4712c37f305900f3f59e03,1279.1333333333334,0.3281086729362591,0.3076923076923077,2.0416365243951407,0.6800411522633745,0.7373737373737373,-5.733258511036288
out_trade,54,903.2,False,1145,598,512,243,1657,841,Roshown McLeod,1728,2001-02-22,2000-10-31,2000-01,101328,54192,1,1,roster_tenure_v2,ATL,1184,639,54,1610612737,479,281,1663,920,0.5009036144578313,0.5224304372515616,2.1526822793730305,historical_recovered_completion,1b5b438387fdc914aa4712c37f305900f3f59e03,1688.8,0.31968145620022753,0.29495073891625617,2.473071728397136,0.7244897959183674,0.6981132075471698,2.6376588371197607
season_close,27,14.583333333333334,False,815,15,321,6,1136,21,Roshown McLeod,1728,2001-04-18,2001-02-23,2000-01,77185,875,1,1,roster_tenure_v2,PHI,900,10,27,1610612755,445,5,1345,15,0.5421201128577187,0.4166666666666667,-12.545344619105197,historical_recovered_completion,1b5b438387fdc914aa4712c37f305900f3f59e03,1286.4166666666667,0.25,0.3531746031746032,-10.31746031746032,0.625,0.7371007371007371,-11.21007371007371
season_close,25,457.8833333333333,False,525,289,240,141,765,430,Felipe Lopez,1732,2001-04-18,2001-02-28,2000-01,45127,27473,1,1,roster_tenure_v2,MIN,492,326,25,1610612750,219,153,711,479,0.4817073170731707,0.5269526952695269,4.524537819635621,historical_recovered_completion,1b5b438387fdc914aa4712c37f305900f3f59e03,752.1166666666667,0.34615384615384615,0.29435483870967744,5.179900744416871,0.6980728051391863,0.6721311475409836,2.594165759820277
out_depart,55,1108.0333333333333,False,1028,769,422,317,1450,1086,Felipe Lopez,1732,2001-02-22,2000-10-31,2000-01,91918,66482,1,1,roster_tenure_v2,WAS,984,737,55,1610612764,482,323,1466,1060,0.5027434842249657,0.4939422180801491,-0.8801266144816633,historical_recovered_completion,1b5b438387fdc914aa4712c37f305900f3f59e03,1531.9666666666667,0.2957875457875458,0.31920529801324504,-2.3417752225699253,0.6992409867172675,0.6998577524893315,-0.06167657720639319
season_close,60,279.18333333333334,False,1859,216,814,55,2673,271,Vladimir Stepania,1735,2001-04-18,2000-12-15,2000-01,156649,16751,1,1,roster_tenure_v2,NJN,1650,221,60,1610612751,712,94,2362,315,0.469116186693148,0.537542662116041,6.842647542289298,historical_recovered_completion,1b5b438387fdc914aa4712c37f305900f3f59e03,2610.8166666666666,0.3032258064516129,0.27693504472967717,2.6290761721935727,0.8007246376811594,0.6696428571428571,13.108178053830233
season_close,28,716.9666666666667,False,471,503,213,204,684,707,Nazr Mohammed,1737,2001-04-18,2001-02-23,2000-01,38222,43018,1,1,roster_tenure_v2,ATL,382,487,28,1610612737,183,245,565,732,0.45236188951160927,0.5086865879082696,5.632469839666032,historical_recovered_completion,1b5b438387fdc914aa4712c37f305900f3f59e03,637.0333333333333,0.32754010695187163,0.2798165137614679,4.772359319040376,0.7047756874095513,0.6420168067226891,6.2758880686862195
out_trade,55,198.2,False,1600,128,746,63,2346,191,Nazr Mohammed,1737,2001-02-22,2000-10-31,2000-01,148308,11892,1,1,roster_tenure_v2,PHI,1761,139,55,1610612755,737,62,2498,201,0.5156895127993394,0.5127551020408163,-0.2934410758523076,historical_recovered_completion,1b5b438387fdc914aa4712c37f305900f3f59e03,2471.8,0.3263157894736842,0.3153615746683783,1.095421480530595,0.6881188118811881,0.7024331870761866,-1.4314375194998563
out_trade,54,33.63333333333333,False,1788,25,684,8,2472,33,Muggsy Bogues,177,2001-02-22,2000-10-31,2000-01,155602,2018,1,1,roster_tenure_v2,TOR,1789,20,54,1610612761,881,11,2670,31,0.5192532088681447,0.484375,-3.4878208868144744,historical_recovered_completion,1b5b438387fdc914aa4712c37f305900f3f59e03,2593.366666666667,0.3055555555555556,0.33008617459722744,-2.4530619041671864,0.7142857142857143,0.7234128588758593,-0.9127144590144964
out_trade,15,331.96666666666664,False,234,235,104,104,338,339,Tyrone Nesby,1838,2000-11-28,2000-10-31,2000-01,23882,19918,1,1,roster_tenure_v2,LAC,296,239,15,1610612746,141,120,437,359,0.5638709677419355,0.5143266475644699,-4.954432017746557,historical_recovered_completion,1b5b438387fdc914aa4712c37f305900f3f59e03,398.03333333333336,0.3380281690140845,0.376,-3.79718309859155,0.6967930029154519,0.74,-4.3206997084548115
