season,player_id,team_id,player,canonical_classification,current_selected_source_layer,covered_before_safe_lock,safe_lock_source_supplied,safe_lock_value_valid,newly_resolved_by_safe_lock,selected_source_layer_after_safe_lock,covered_after_safe_lock,team_oreb_on,team_dreb_on,opponent_oreb_on,opponent_dreb_on,team_oreb_off,team_dreb_off,opponent_oreb_off,opponent_dreb_off,seconds_on,seconds_off,games_processed,safe_treb_on,safe_treb_off,safe_treb_swing_pp,safe_lock_segment_rows,locked_treb_on,locked_treb_off,locked_treb_swing_pp,safe_vs_locked_on_diff_pp,safe_vs_locked_off_diff_pp,safe_vs_locked_swing_diff_pp,safe_vs_locked_max_abs_diff_pp,material_numeric_conflict_gt_0_01pp
2000-01,2173,1610612745,Sean Colson,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,11,16,9,28,305,828,348,768,1769,71131,25,0.421875,0.503779457536683,-8.190445753668296,1,0.421875,0.503779457536683,-8.190445753668296,0.0,0.0,0.0,0.0,False
2000-01,292,1610612745,Anthony Miller,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,0,2,1,2,150,325,146,325,166,28634,10,0.4,0.5021141649048626,-10.211416490486258,1,0.4,0.5021141649048626,-10.211416490486258,0.0,0.0,0.0,0.0,False
2000-01,685,1610612746,Cherokee Parks,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,233,563,242,606,671,1664,765,1568,52547,144013,67,0.48418491484184917,0.5002142245072836,-1.6029309665434421,1,0.48418491484184917,0.5002142245072836,-1.6029309665434421,0.0,0.0,0.0,0.0,False
2000-01,1838,1610612746,Tyrone Nesby,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,120,239,104,235,141,296,104,234,19918,23882,15,0.5143266475644699,0.5638709677419355,-4.954432017746557,1,0.5143266475644699,0.5638709677419355,-4.954432017746557,0.0,0.0,0.0,0.0,False
2000-01,76,1610612748,Cedric Ceballos,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,110,270,122,251,682,1985,774,2018,23561,177259,69,0.5046480743691899,0.48855101666971973,1.6097057699470174,1,0.5046480743691899,0.48855101666971973,1.6097057699470174,0.0,0.0,0.0,0.0,False
2000-01,1554,1610612748,Jamal Robinson,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,26,42,15,56,142,352,146,387,4298,33442,13,0.4892086330935252,0.4810126582278481,0.819597486567708,1,0.4892086330935252,0.4810126582278481,0.819597486567708,0.0,0.0,0.0,0.0,False
2000-01,760,1610612749,Jerome Kersey,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,73,164,50,176,900,2255,985,2192,14714,193846,72,0.5118790496760259,0.49826279216677194,1.3616257509253993,1,0.5118790496760259,0.49826279216677194,1.3616257509253993,0.0,0.0,0.0,0.0,False
2000-01,1732,1610612750,Felipe Lopez,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,153,326,141,289,219,492,240,525,27473,45127,25,0.5269526952695269,0.4817073170731707,4.524537819635621,1,0.5269526952695269,0.4817073170731707,4.524537819635621,0.0,0.0,0.0,0.0,False
2000-01,103,1610612750,Todd Day,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,94,221,95,222,700,1621,677,1632,20439,144921,57,0.49841772151898733,0.5012958963282937,-0.2878174809306411,1,0.49841772151898733,0.5012958963282937,-0.2878174809306411,0.0,0.0,0.0,0.0,False
2000-01,77,1610612751,Doug Overton,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,94,209,106,221,83,164,70,182,18924,15636,12,0.48095238095238096,0.49498997995991983,-1.403759900753887,1,0.48095238095238096,0.49498997995991983,-1.403759900753887,0.0,0.0,0.0,0.0,False
