season,source_type,ref,file,rows
2007-08,historical_exact_batch,refs/remotes/origin/treb-game-facts-2007-batch-005,team_game_treb,190
2007-08,historical_exact_batch,refs/remotes/origin/treb-game-facts-2007-batch-005,player_game_treb_on,1927
2007-08,historical_exact_batch,refs/remotes/origin/treb-game-facts-2007-batch-006,team_game_treb,194
2007-08,historical_exact_batch,refs/remotes/origin/treb-game-facts-2007-batch-006,player_game_treb_on,1935
2007-08,historical_exact_batch,refs/remotes/origin/treb-game-facts-2007-batch-007,team_game_treb,188
2007-08,historical_exact_batch,refs/remotes/origin/treb-game-facts-2007-batch-007,player_game_treb_on,1873
2007-08,historical_exact_batch,refs/remotes/origin/treb-game-facts-2007-batch-008,team_game_treb,188
2007-08,historical_exact_batch,refs/remotes/origin/treb-game-facts-2007-batch-008,player_game_treb_on,1911
2007-08,historical_exact_batch,refs/remotes/origin/treb-game-facts-2007-batch-009,team_game_treb,196
2007-08,historical_exact_batch,refs/remotes/origin/treb-game-facts-2007-batch-009,player_game_treb_on,2001
2007-08,historical_exact_batch,refs/remotes/origin/treb-game-facts-2007-batch-010,team_game_treb,194
2007-08,historical_exact_batch,refs/remotes/origin/treb-game-facts-2007-batch-010,player_game_treb_on,1934
2007-08,historical_exact_batch,refs/remotes/origin/treb-game-facts-2007-batch-011,team_game_treb,192
2007-08,historical_exact_batch,refs/remotes/origin/treb-game-facts-2007-batch-011,player_game_treb_on,1938
2007-08,historical_exact_batch,refs/remotes/origin/treb-game-facts-2007-batch-012,team_game_treb,58
2007-08,historical_exact_batch,refs/remotes/origin/treb-game-facts-2007-batch-012,player_game_treb_on,614
2007-08,exact_repair_wave1,refs/remotes/origin/treb-game-fact-repair-wave1,team_game_treb,78
2007-08,exact_repair_wave1,refs/remotes/origin/treb-game-fact-repair-wave1,player_game_treb_on,781
2007-08,exact_fast_final_repair,refs/remotes/origin/treb-fast-final-repair-wave,team_game_treb,22
2007-08,exact_fast_final_repair,refs/remotes/origin/treb-fast-final-repair-wave,player_game_treb_on,207
2008-09,historical_exact_batch,refs/remotes/origin/treb-game-facts-2008-batch-000,team_game_treb,194
2008-09,historical_exact_batch,refs/remotes/origin/treb-game-facts-2008-batch-000,player_game_treb_on,1980
2008-09,historical_exact_batch,refs/remotes/origin/treb-game-facts-2008-batch-001,team_game_treb,196
2008-09,historical_exact_batch,refs/remotes/origin/treb-game-facts-2008-batch-001,player_game_treb_on,2002
2008-09,historical_exact_batch,refs/remotes/origin/treb-game-facts-2008-batch-002,team_game_treb,194
2008-09,historical_exact_batch,refs/remotes/origin/treb-game-facts-2008-batch-002,player_game_treb_on,2007
2008-09,historical_exact_batch,refs/remotes/origin/treb-game-facts-2008-batch-003,team_game_treb,194
2008-09,historical_exact_batch,refs/remotes/origin/treb-game-facts-2008-batch-003,player_game_treb_on,1927
2008-09,historical_exact_batch,refs/remotes/origin/treb-game-facts-2008-batch-004,team_game_treb,176
2008-09,historical_exact_batch,refs/remotes/origin/treb-game-facts-2008-batch-004,player_game_treb_on,1751
2008-09,historical_exact_batch,refs/remotes/origin/treb-game-facts-2008-batch-005,team_game_treb,190
2008-09,historical_exact_batch,refs/remotes/origin/treb-game-facts-2008-batch-005,player_game_treb_on,1868
2008-09,historical_exact_batch,refs/remotes/origin/treb-game-facts-2008-batch-006,team_game_treb,182
2008-09,historical_exact_batch,refs/remotes/origin/treb-game-facts-2008-batch-006,player_game_treb_on,1836
2008-09,historical_exact_batch,refs/remotes/origin/treb-game-facts-2008-batch-007,team_game_treb,188
2008-09,historical_exact_batch,refs/remotes/origin/treb-game-facts-2008-batch-007,player_game_treb_on,1852
2008-09,historical_exact_batch,refs/remotes/origin/treb-game-facts-2008-batch-008,team_game_treb,190
2008-09,historical_exact_batch,refs/remotes/origin/treb-game-facts-2008-batch-008,player_game_treb_on,1887
2008-09,historical_exact_batch,refs/remotes/origin/treb-game-facts-2008-batch-009,team_game_treb,196
2008-09,historical_exact_batch,refs/remotes/origin/treb-game-facts-2008-batch-009,player_game_treb_on,1930
2008-09,historical_exact_batch,refs/remotes/origin/treb-game-facts-2008-batch-010,team_game_treb,196
2008-09,historical_exact_batch,refs/remotes/origin/treb-game-facts-2008-batch-010,player_game_treb_on,1969
2008-09,historical_exact_batch,refs/remotes/origin/treb-game-facts-2008-batch-011,team_game_treb,186
2008-09,historical_exact_batch,refs/remotes/origin/treb-game-facts-2008-batch-011,player_game_treb_on,1830
2008-09,historical_exact_batch,refs/remotes/origin/treb-game-facts-2008-batch-012,team_game_treb,56
2008-09,historical_exact_batch,refs/remotes/origin/treb-game-facts-2008-batch-012,player_game_treb_on,565
2008-09,exact_repair_wave1,refs/remotes/origin/treb-game-fact-repair-wave1,team_game_treb,90
2008-09,exact_repair_wave1,refs/remotes/origin/treb-game-fact-repair-wave1,player_game_treb_on,915
2008-09,exact_fast_final_repair,refs/remotes/origin/treb-fast-final-repair-wave,team_game_treb,30
2008-09,exact_fast_final_repair,refs/remotes/origin/treb-fast-final-repair-wave,player_game_treb_on,281
2009-10,historical_exact_batch,refs/remotes/origin/treb-game-facts-2009-batch-000,team_game_treb,196
2009-10,historical_exact_batch,refs/remotes/origin/treb-game-facts-2009-batch-000,player_game_treb_on,2013
2009-10,historical_exact_batch,refs/remotes/origin/treb-game-facts-2009-batch-001,team_game_treb,196
2009-10,historical_exact_batch,refs/remotes/origin/treb-game-facts-2009-batch-001,player_game_treb_on,2003
2009-10,historical_exact_batch,refs/remotes/origin/treb-game-facts-2009-batch-002,team_game_treb,194
2009-10,historical_exact_batch,refs/remotes/origin/treb-game-facts-2009-batch-002,player_game_treb_on,1953
