season,player_id,team_id,player,canonical_classification,locked_segment_count,locked_source_supplied,expected_team_games,exact_team_games,expected_player_games,exact_player_games,exact_full_core_sufficient,locked_source_superseded_by_exact,selected_source_layer,covered_after_this_overlay
2000-01,2036,1610612739,Chris Mihm,full_core,0,0,82,0,59,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,2037,1610612741,Jamal Crawford,full_core,0,0,82,0,61,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,2038,1610612749,Joel Przybilla,full_core,0,0,82,0,33,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,2039,1610612746,Keyon Dooling,full_core,0,0,82,0,76,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,2040,1610612738,Jerome Moiso,full_core,0,0,82,0,24,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,2043,1610612765,Mateen Cleaves,full_core,0,0,82,0,78,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,2044,1610612745,Jason Collier,full_core,0,0,82,0,23,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,2045,1610612758,Hedo Turkoglu,full_core,0,0,82,0,74,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,2046,1610612760,Desmond Mason,full_core,0,0,82,0,78,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,2047,1610612746,Quentin Richardson,full_core,0,0,82,0,76,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,2048,1610612766,Jamaal Magloire,full_core,0,0,82,0,74,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,2050,1610612761,Morris Peterson,full_core,0,0,82,0,80,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,2051,1610612742,Donnell Harvey,full_core,0,0,82,0,18,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,2052,1610612762,DeShawn Stevenson,full_core,0,0,82,0,40,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,2053,1610612741,Dalibor Bagaric,full_core,0,0,82,0,35,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
